filename,true,predicted,probabilities
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1014_bacteria_2945.jpeg,2,2,"[0.00215911865234375, 3.063678741455078e-05, 0.998046875, 5.817413330078125e-05]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1313_bacteria_3320.jpeg,2,2,"[0.04742431640625, 5.960464477539063e-08, 0.95263671875, 5.340576171875e-05]"
/kaggle/input/dataset-klasifikasi-v5/NORMAL/seg_NORMAL2-IM-0338-0001.jpeg,0,2,"[0.357666015625, 6.943941116333008e-05, 0.642578125, 6.568431854248047e-05]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person937_bacteria_2862.jpeg,2,2,"[1.1026859283447266e-05, 4.172325134277344e-07, 1.0, 1.9073486328125e-06]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1102_bacteria_3043.jpeg,2,2,"[0.0001055598258972168, 0.0, 1.0, 2.980232238769531e-07]"
/kaggle/input/dataset-klasifikasi-v5/COVID19/seg_COVID19(104).jpg,3,3,"[1.0728836059570312e-06, 0.0, 1.1682510375976562e-05, 1.0]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person370_bacteria_1691.jpeg,2,2,"[6.401538848876953e-05, 8.940696716308594e-07, 1.0, 0.00011152029037475586]"
/kaggle/input/dataset-klasifikasi-v5/NORMAL/seg_IM-0016-0001.jpeg,0,0,"[0.9990234375, 5.960464477539063e-08, 5.513429641723633e-05, 0.0006823539733886719]"
/kaggle/input/dataset-klasifikasi-v5/TUBERCULOSIS/seg_Tuberculosis-367.png,1,1,"[0.0, 1.0, 1.7881393432617188e-07, 1.7881393432617188e-07]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person656_bacteria_2548.jpeg,2,2,"[2.3245811462402344e-06, 2.205371856689453e-06, 1.0, 2.390146255493164e-05]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person940_bacteria_2865.jpeg,2,2,"[0.0, 5.960464477539063e-08, 1.0, 0.0]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1257_bacteria_3215.jpeg,2,2,"[0.04443359375, 0.0001125335693359375, 0.955078125, 3.170967102050781e-05]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1544_bacteria_4037.jpeg,2,2,"[5.042552947998047e-05, 5.960464477539062e-07, 0.9951171875, 0.005023956298828125]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1345_bacteria_3426.jpeg,2,2,"[0.00033020973205566406, 2.980232238769531e-07, 1.0, 2.384185791015625e-07]"
/kaggle/input/dataset-klasifikasi-v5/TUBERCULOSIS/seg_Tuberculosis-457.png,1,1,"[0.0, 1.0, 0.0, 5.960464477539063e-08]"
/kaggle/input/dataset-klasifikasi-v5/NORMAL/seg_IM-0660-0001-0002.jpeg,0,0,"[0.98828125, 2.384185791015625e-07, 0.01141357421875, 4.3451786041259766e-05]"
/kaggle/input/dataset-klasifikasi-v5/COVID19/seg_COVID19(151).jpg,3,3,"[1.6093254089355469e-06, 0.0330810546875, 5.960464477539062e-07, 0.966796875]"
/kaggle/input/dataset-klasifikasi-v5/NORMAL/seg_NORMAL2-IM-0421-0001.jpeg,0,0,"[0.9921875, 8.219480514526367e-05, 0.003360748291015625, 0.00461578369140625]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person448_bacteria_1936.jpeg,2,2,"[1.1920928955078125e-07, 0.0, 1.0, 0.0]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1327_bacteria_3373.jpeg,2,2,"[0.006053924560546875, 1.7881393432617188e-07, 0.994140625, 2.086162567138672e-06]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1613_bacteria_4247.jpeg,2,2,"[0.03009033203125, 5.960464477539062e-07, 0.9697265625, 3.1948089599609375e-05]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1702_bacteria_4506.jpeg,2,2,"[0.0, 0.0007758140563964844, 0.9990234375, 5.960464477539063e-08]"
/kaggle/input/dataset-klasifikasi-v5/NORMAL/seg_IM-0519-0001-0001.jpeg,0,0,"[0.970703125, 3.3974647521972656e-06, 0.0291900634765625, 8.940696716308594e-07]"
