filename,true,predicted,probabilities
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1014_bacteria_2945.jpeg,2,2,"[0.0176544189453125, 0.0, 0.98291015625, 1.1920928955078125e-07]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1313_bacteria_3320.jpeg,2,2,"[0.2119140625, 1.1920928955078125e-07, 0.78759765625, 8.463859558105469e-06]"
/kaggle/input/dataset-klasifikasi-v5/NORMAL/seg_NORMAL2-IM-0338-0001.jpeg,0,2,"[0.032501220703125, 5.960464477539063e-08, 0.9677734375, 4.76837158203125e-06]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person937_bacteria_2862.jpeg,2,2,"[5.227327346801758e-05, 1.341104507446289e-05, 1.0, 7.927417755126953e-06]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1102_bacteria_3043.jpeg,2,2,"[0.00034618377685546875, 0.0, 1.0, 5.960464477539062e-07]"
/kaggle/input/dataset-klasifikasi-v5/COVID19/seg_COVID19(104).jpg,3,3,"[0.0217437744140625, 0.0129852294921875, 0.11004638671875, 0.85546875]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person370_bacteria_1691.jpeg,2,2,"[7.033348083496094e-06, 0.0, 1.0, 0.0]"
/kaggle/input/dataset-klasifikasi-v5/NORMAL/seg_IM-0016-0001.jpeg,0,0,"[0.63232421875, 0.04150390625, 0.315185546875, 0.01104736328125]"
/kaggle/input/dataset-klasifikasi-v5/TUBERCULOSIS/seg_Tuberculosis-367.png,1,1,"[0.0006012916564941406, 0.93701171875, 0.0587158203125, 0.0040740966796875]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person656_bacteria_2548.jpeg,2,2,"[1.1324882507324219e-05, 0.00017404556274414062, 1.0, 0.00011324882507324219]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person940_bacteria_2865.jpeg,2,2,"[2.6464462280273438e-05, 0.0, 1.0, 1.7881393432617188e-07]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1257_bacteria_3215.jpeg,2,2,"[9.763240814208984e-05, 5.143880844116211e-05, 1.0, 6.020069122314453e-06]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1544_bacteria_4037.jpeg,2,2,"[4.649162292480469e-06, 0.274169921875, 0.71826171875, 0.00778961181640625]"
