filename,true,predicted,probabilities
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1014_bacteria_2945.jpeg,2,2,"[0.0110626220703125, 2.5570392608642578e-05, 0.98828125, 1.2695789337158203e-05]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1313_bacteria_3320.jpeg,2,2,"[0.15869140625, 2.3484230041503906e-05, 0.83984375, 0.0011682510375976562]"
/kaggle/input/dataset-klasifikasi-v5/NORMAL/seg_NORMAL2-IM-0338-0001.jpeg,0,2,"[0.3203125, 0.00015425682067871094, 0.6796875, 0.00014150142669677734]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person937_bacteria_2862.jpeg,2,2,"[9.03010368347168e-05, 4.112720489501953e-06, 1.0, 5.4836273193359375e-06]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1102_bacteria_3043.jpeg,2,2,"[0.006458282470703125, 2.568960189819336e-05, 0.9931640625, 3.975629806518555e-05]"
/kaggle/input/dataset-klasifikasi-v5/COVID19/seg_COVID19(104).jpg,3,3,"[0.00021588802337646484, 0.01119232177734375, 0.00785064697265625, 0.98095703125]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person370_bacteria_1691.jpeg,2,2,"[0.0004341602325439453, 2.86102294921875e-06, 1.0, 1.5795230865478516e-05]"
/kaggle/input/dataset-klasifikasi-v5/NORMAL/seg_IM-0016-0001.jpeg,0,0,"[0.6796875, 0.25146484375, 0.056182861328125, 0.0124969482421875]"
/kaggle/input/dataset-klasifikasi-v5/TUBERCULOSIS/seg_Tuberculosis-367.png,1,1,"[0.0, 0.9951171875, 0.0009584426879882812, 0.004230499267578125]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person656_bacteria_2548.jpeg,2,2,"[0.00034880638122558594, 5.650520324707031e-05, 1.0, 5.346536636352539e-05]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person940_bacteria_2865.jpeg,2,2,"[0.00026535987854003906, 5.1856040954589844e-05, 1.0, 1.0788440704345703e-05]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1257_bacteria_3215.jpeg,2,2,"[0.01326751708984375, 0.0035037994384765625, 0.98291015625, 0.0008854866027832031]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1544_bacteria_4037.jpeg,2,2,"[0.0005598068237304688, 0.0273284912109375, 0.9072265625, 0.0654296875]"
