filename,true,predicted,probabilities
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1014_bacteria_2945.jpeg,2,2,"[0.0285491943359375, 6.198883056640625e-06, 0.9716796875, 4.76837158203125e-07]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1313_bacteria_3320.jpeg,2,2,"[0.1866455078125, 9.870529174804688e-05, 0.8125, 0.0001844167709350586]"
/kaggle/input/dataset-klasifikasi-v5/NORMAL/seg_NORMAL2-IM-0338-0001.jpeg,0,2,"[0.329345703125, 9.417533874511719e-06, 0.67041015625, 1.621246337890625e-05]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person937_bacteria_2862.jpeg,2,2,"[7.271766662597656e-06, 1.9669532775878906e-06, 1.0, 2.384185791015625e-07]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1102_bacteria_3043.jpeg,2,2,"[0.2427978515625, 4.273653030395508e-05, 0.7568359375, 2.562999725341797e-06]"
/kaggle/input/dataset-klasifikasi-v5/COVID19/seg_COVID19(104).jpg,3,3,"[5.608797073364258e-05, 3.516674041748047e-06, 0.00025916099548339844, 1.0]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person370_bacteria_1691.jpeg,2,2,"[9.173154830932617e-05, 4.369020462036133e-05, 1.0, 0.00022351741790771484]"
/kaggle/input/dataset-klasifikasi-v5/NORMAL/seg_IM-0016-0001.jpeg,0,0,"[0.994140625, 0.0006527900695800781, 0.005096435546875, 0.00024390220642089844]"
/kaggle/input/dataset-klasifikasi-v5/TUBERCULOSIS/seg_Tuberculosis-367.png,1,1,"[5.960464477539063e-08, 0.9990234375, 5.602836608886719e-06, 0.0010166168212890625]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person656_bacteria_2548.jpeg,2,2,"[2.3543834686279297e-05, 1.0311603546142578e-05, 1.0, 0.0002493858337402344]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person940_bacteria_2865.jpeg,2,2,"[6.765127182006836e-05, 5.0067901611328125e-06, 1.0, 8.344650268554688e-07]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1257_bacteria_3215.jpeg,2,0,"[0.52294921875, 0.00021159648895263672, 0.475341796875, 0.0014743804931640625]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1544_bacteria_4037.jpeg,2,2,"[0.0028896331787109375, 0.037353515625, 0.955078125, 0.004856109619140625]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1345_bacteria_3426.jpeg,2,2,"[0.07110595703125, 1.2516975402832031e-06, 0.92919921875, 7.152557373046875e-07]"
/kaggle/input/dataset-klasifikasi-v5/TUBERCULOSIS/seg_Tuberculosis-457.png,1,1,"[0.0, 1.0, 1.4722347259521484e-05, 0.00017130374908447266]"
/kaggle/input/dataset-klasifikasi-v5/NORMAL/seg_IM-0660-0001-0002.jpeg,0,0,"[0.94189453125, 1.5974044799804688e-05, 0.057464599609375, 0.0001348257064819336]"
/kaggle/input/dataset-klasifikasi-v5/COVID19/seg_COVID19(151).jpg,3,1,"[7.873773574829102e-05, 0.67431640625, 0.00014483928680419922, 0.325439453125]"
/kaggle/input/dataset-klasifikasi-v5/NORMAL/seg_NORMAL2-IM-0421-0001.jpeg,0,0,"[0.94287109375, 1.1682510375976562e-05, 0.05694580078125, 5.6684017181396484e-05]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person448_bacteria_1936.jpeg,2,2,"[0.0004584789276123047, 2.1278858184814453e-05, 1.0, 5.781650543212891e-06]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1327_bacteria_3373.jpeg,2,2,"[0.00013446807861328125, 1.5497207641601562e-06, 1.0, 2.980232238769531e-07]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1613_bacteria_4247.jpeg,2,2,"[0.0025691986083984375, 5.251169204711914e-05, 0.9970703125, 7.867813110351562e-06]"
/kaggle/input/dataset-klasifikasi-v5/PNEUMONIA/seg_person1702_bacteria_4506.jpeg,2,2,"[2.86102294921875e-05, 0.0002512931823730469, 1.0, 6.556510925292969e-07]"
/kaggle/input/dataset-klasifikasi-v5/NORMAL/seg_IM-0519-0001-0001.jpeg,0,0,"[0.95947265625, 1.4722347259521484e-05, 0.040557861328125, 7.68899917602539e-06]"
/kaggle/input/dataset-klasifikasi-v5/NORMAL/seg_NORMAL2-IM-0441-0001.jpeg,0,0,"[0.97607421875, 0.0002570152282714844, 0.009307861328125, 0.01470947265625]"
/kaggle/input/dataset-klasifikasi-v5/NORMAL/seg_IM-0528-0001.jpeg,0,0,"[0.994140625, 1.430511474609375e-06, 0.00563812255859375, 1.0728836059570312e-06]"
